linux<><>2016/11/14(月) 11:14:22.33 ID:OMr4mKN2<> 話題にぴったりのスレッドがなかったのでたてました。 <br> <br> 今迄ずっとWindowをメインで使ってきましたが、Windows10になって不満を極度に感じるようになりました。 <br> かなりの頻度で再起動をともなう更新が強制され、その間PCの使用ができなくなるわけです。 <br> 大規模なアップデートの際には1時間程度使えないこともありました。 <br> また、再起動に際して待機中プログラムを勝手に終了され、許せない思いです。 <br> <br> 最近、Linuxデスクトップをメインで使うようになりました。 <br> やっと懐かしい感覚を得られるようになりました。自分でPCをコントロールできる感覚です。 <br> ずっとWindowsにその感覚を取り上げられていたわけです。 <br> <br> 今や必要なサービスはブラウザさえあればほとんど受けることができます。 <br> オフィスソフトもLibreOfficeという素晴らしいものがあります。 <br> もう普段のデスクトップ環境としてLinuxデスクトップを選んでも差し支えありません。 <br> <br> こういう気付きをみなさんで共有しましょう！ <>WindowsやめてLinuxデスクトップ！ [無断転載禁止]&#169;2ch.net 
linux<><>2016/11/14(月) 11:18:48.59 ID:OMr4mKN2<> CentOS 7（+ MATE）だけど、Chromeも、LibreOffice 5も導入できて使えた。 <br> Chromiumも導入して、Googleの複数のアカウントをそれぞれで使っている。 <br> <br> とても快適。 <>
linux<><>2016/11/14(月) 11:28:06.30 ID:OMr4mKN2<> 上記の環境で、後気付いた点↓ <br> <br> Wifiも問題なくつかえる。 <br> 日本語入力もok。 <br> スリープも出来る。 <br> メモリの使用量、CPUの使用率も低い。 <br> Gmailの反応がとても速くなった。 <br> システムの起動が早い。 <br> Windowsとのデュアルブートも可能（設定が必要） <>
linux<><>2016/11/14(月) 11:29:13.41 ID:OMr4mKN2<> ドライバ（PPDファイル）さえあればプリンタの導入も問題無。 <>
login:Penguin<>sage<>2016/11/18(金) 05:21:49.24 ID:GuZV39Ud<> <a href="../test/read.cgi/linux/1479089662/45" rel="noopener noreferrer" target="_blank">&gt;&gt;45</a> <br> セキュリティがしっかりしてる会社だとそんな感じですよね <br> 学生とか気軽に他人のパソコンにusbつないでデータのやりとりしたりするけどあれ本当に恐いですよね <>
login:Penguin<>sage<>2016/11/18(金) 05:41:48.42 ID:INKLbDhQ<> <a href="../test/read.cgi/linux/1479089662/45" rel="noopener noreferrer" target="_blank">&gt;&gt;45</a> <br> 情シスが阿呆なのかお前が阿呆なのか分かり難いわ <>
login:Penguin<>sage<>2016/11/18(金) 06:21:40.13 ID:+cCpHGI2<> <a href="../test/read.cgi/linux/1479089662/47" rel="noopener noreferrer" target="_blank">&gt;&gt;47</a> <br> そう言うおまいはセキュリティーの大事さが全然分かっていない学生と同じ。 <>
login:Penguin<>sage<>2016/11/18(金) 06:25:55.32 ID:GhcyyvAy<> Linuxの欠点は、windowsじゃないってことだよな <br> つまり、ひと昔前のmacのように、シェアが低いゆえサービスやソフトが対応してなかったり、一部のデバイスが動作しなかったり、MS Officeが唯一のオフィスソフトと思ってる人が多いこと <br> 逆にそれらの問題がない用途だと、使い勝手は優れているとおれは思う <>
login:Penguin<>sage<>2016/11/18(金) 06:38:24.85 ID:+cCpHGI2<> <a href="../test/read.cgi/linux/1479089662/49" rel="noopener noreferrer" target="_blank">&gt;&gt;49</a> <br> MSオフィスはOS以前にバージョンが違うと使い物になら無い。 <br> 他社とデータ交換する時はそのままじゃ送れない。 <>
login:Penguin<>sage<>2016/11/18(金) 06:40:57.38 ID:mUlKdBJI<> 仮想環境上でwin…とか考えたところで <br> Linuxは何でいるのか？と思い至り <br> winクリーンインストールしたあの頃 <>
login:Penguin<>sage<>2016/11/18(金) 07:01:46.80 ID:GuZV39Ud<> かつてBlasterウイルス全盛期にある会社のコンピューターが全部Blaster被害にあいました <br> この会社は完全に閉じたLanでネットに一切アクセスせずに運営してたにもかかわらずウイルス被害にあったのだとか <br> 不思議に思って調べてみると、ある社員がデータを持って帰って家で仕事をするために禁止されてるにもかかわらず自分のウイルスに冒されたノートパソコンを会社のLanに繋いだのが原因だったそうです <br> 人間だって大きなセキュリティホールになるのです <>
login:Penguin<>sage<>2016/11/18(金) 07:11:03.60 ID:i/Bxw+c9<> <a href="../test/read.cgi/linux/1479089662/52" rel="noopener noreferrer" target="_blank">&gt;&gt;52</a> <br> 学生なら知らなくても仕方が無いけど <br> 人間が最大の脅威なのはセキュリティの基本中の基本だよ <>
login:Penguin<>sage<>2016/11/18(金) 07:11:59.15 ID:GhcyyvAy<> <a href="../test/read.cgi/linux/1479089662/50" rel="noopener noreferrer" target="_blank">&gt;&gt;50</a> <br> たしかにPDFとかCSVとか出来るだけ汎用な形式に直して渡すことが多いわな <br> <br> MSがちゃんとオープンなフォーマットに対応させればいいのにな <br> Officeが移行できればLinuxに移るハードルがさがるのに <>
login:Penguin<>sage<>2016/11/18(金) 07:28:56.39 ID:xtWkAVds<> セキュリティの話が出ているので聞きたい <br> Winの時はゴテゴテ常駐させてたけどよくわからず今はなにもやってません <br> 皆さんどのような対策してますか？ <>
